id	Adipocyte:mean	Adipocyte:percent_expressed	Endo:mean	Endo:percent_expressed	Erythrocyte:mean	Erythrocyte:percent_expressed	FAP:mean	FAP:percent_expressed	Fibroblast-like:mean	Fibroblast-like:percent_expressed	Lymphocyte:mean	Lymphocyte:percent_expressed	Mast cell:mean	Mast cell:percent_expressed	MuSC:mean	MuSC:percent_expressed	Myeloid cell:mean	Myeloid cell:percent_expressed	Pericyte:mean	Pericyte:percent_expressed	Schwann cell:mean	Schwann cell:percent_expressed	SMC:mean	SMC:percent_expressed	Specialized MF:mean	Specialized MF:percent_expressed	Type I:mean	Type I:percent_expressed	Type II:mean	Type II:percent_expressed
TPSAB1	0	0	0.009303396919188654	0.7319068325655488	0	0	0.007574880858306337	0.7020081688223281	0.010401483805831219	0.8887514973530661	0.00713923300865639	0.4476943739740337	3.7884743204649842	84.89425981873111	0.0056288977513923874	0.42115493642180285	0.011015945916361325	0.9905774341628413	0.007702925736440901	0.6001500375093773	0	0	0.008688681076491782	0.6298912006108036	0.0008506346122902101	0.0714465831722283	0.00010321976616198585	0.007390436774813391	0.0003218670230546098	0.02048368815633151
KIT	0.014480249549643661	0.6237006237006237	0.0672936667018779	4.206311620097301	0.011227272857319224	0.9090909090909091	0.013467069362766326	1.1615044247787611	0.00957224003092814	0.8153328953978128	0.011759438851469933	0.8356961647515296	2.4667220550091247	86.10271903323263	0.015475014192213981	1.2310682756945006	0.006600628144126435	0.5556897801401305	0.006796699183289484	0.5101275318829707	0.04596226395301099	2.2641509433962264	0.006443977879303788	0.49627791563275436	0.0023085651835483834	0.21433974951668489	0.002260611435873883	0.2537383292685931	0.002320119077342185	0.23761078261344548
CPA3	0.005197505197505198	0.31185031185031187	0.008345029490821488	0.5726094631248116	0	0	0.0062874404436460436	0.5488427501701838	0.013822404267481238	1.2790293287994126	0.005978212198594172	0.3730786449783614	3.6278851987552065	86.85800604229608	0.005492832242230843	0.4130558030290759	0.005960376906665692	0.4711282918579367	0.008948237016875317	0.660165041260315	0.019169811257776226	0.9433962264150944	0.0073430044069889054	0.49627791563275436	0.004487265673887733	0.32361099436832813	0.003438031173729676	0.38922967014017196	0.00315435141098414	0.3345669065534146
CTSG	0.005051974942927053	0.4158004158004158	0.010990657398938548	0.8567615275326129	0	0	0.0080764975951613	0.7020081688223281	0.020193206798238463	2.005487074461919	0.008103268144024324	0.5073869571705716	3.992220545058164	85.64954682779457	0.007734672375571885	0.6155341378472503	0.01177699921873636	1.0026576467745831	0.0071822955969662395	0.6001500375093773	0	0	0.00909906469881364	0.7635044855888529	0.0024069093153377915	0.21433974951668489	0.0003665656641885916	0.06158697312344493	0.0009141187245686114	0.08466591104617023
MS4A2	0	0	0.004346665535616948	0.29276273302621947	0	0	0.002360874733718339	0.18294758339006129	0.00498782795876549	0.3902778314463465	0.003939710487413542	0.26861662438442024	2.554441087375595	85.1963746223565	0.002991819865425328	0.21057746821090143	0.003975597955691523	0.362406378352259	0.0036414103497264087	0.25506376594148533	0.004320754645005712	0.18867924528301888	0.0032143538679460415	0.1717885092574919	0.0026821887749679764	0.2227452298898882	0.0015894366054790934	0.1847609193703348	0.0012776359060985524	0.12699886656925535
CD69	0.0011850311701610034	0.10395010395010396	0.010788737269979783	0.8481508589141947	0.016090909459374168	0.9090909090909091	0.008569605170493632	0.7785908781484002	0.012633022920366482	1.0317245643185595	1.1983450223413656	49.79853753171169	2.8882175287811416	83.38368580060424	0.005693690761570179	0.42925406981452985	0.0882362889319003	4.795844406861561	0.008064516164803987	0.6001500375093773	0.009566037609892072	0.5660377358490566	0.01473945412250802	1.1452567283832793	0.0018819870606203825	0.15550138690426157	0.0005523119748315611	0.05296479688616264	0.0009463463932396644	0.08193475262532604
HPGD	0.011330561305777694	0.8316008316008316	0.005549575949205863	0.4520601024669566	0.007409090887416493	0.45454545454545453	0.01440095303261905	1.1657590197413206	0.0197020750284803	1.6152092430155722	0.0704909712765541	4.163557677958513	2.977401812496142	85.04531722054381	0.005047379949077996	0.38875840285089497	0.04543488744694013	3.4670210195699442	0.005557389287955763	0.4051012753188297	0.0516037736298903	2.6415094339622645	0.005537316257158612	0.43901507921359034	0.012409851194239669	0.8573589980667395	0.011911413264351538	0.9570615623383343	0.0037646287718151664	0.353685015499324
RHEX	0.005977131039090067	0.4158004158004158	0.005739871685974113	0.3401214104275197	0.014818181774832986	0.9090909090909091	0.007510211034706452	0.5403335602450647	0.006214305032390849	0.44823988562154643	0.004623190526943779	0.26861662438442024	2.03708459063239	82.17522658610272	0.0030088280486396286	0.21057746821090143	0.026589755931030756	1.6187484899734237	0.003213803417595007	0.25506376594148533	0.040188679155313746	1.8867924528301887	0.002553922526138751	0.13361328497804922	0.005761536524467551	0.4454904597797764	0.00530226885934894	0.5715271105855689	0.00606672221423335	0.6145106446899452
MEG3	0.06799376243241363	4.158004158004158	0.11483532089215415	7.736685753648771	0.09568181823600422	5	1.6333989952028387	76.89754935330157	1.134757911126209	62.52559990726071	0.07706610933824576	4.38740486494553	0.6009818739131138	34.74320241691843	3.297606708967822	96.25820037256013	0.06955665620874166	4.989127808649433	0.1031282820338516	6.706676669167291	0.34360377175628015	15.09433962264151	0.09130941006854691	6.680664248902462	0.05657728824060264	2.5216441119609985	0.011441874254020537	0.5666001527356934	0.01561881224153549	0.7729178330989089
PAX7	0.015218295172445492	1.0395010395010396	0.019437723348699323	1.3475696387824514	0.01286363655870611	0.9090909090909091	0.014743022451404205	1.2465963240299522	0.013383824710633315	1.1128714401638393	0.01802566772502779	1.1341590807342188	0.01217522649966698	0.906344410876133	1.6915615119629566	78.1161415728517	0.017208262792882727	1.3046629620681325	0.024760689998334813	1.6804201050262566	0.06424528292889865	3.7735849056603774	0.014987592980205888	1.1643443405230005	0.041970664848149764	2.937715390434563	0.025799768380327937	2.193727982657108	0.05978287284253614	4.627947944120499
APOE	0.21910602975783874	9.771309771309772	0.0818500021357817	6.341757437465019	0.006409090757369995	0.45454545454545453	0.42528803608779037	22.332368958475154	0.5348846555030246	26.403647745276093	0.06830473066292456	4.357558573347261	0.14267371671437498	9.516616314199396	2.1007216338002173	76.56110796144813	0.3876854309960246	19.014254650881856	0.1783510877329518	9.767441860465116	0.5337735836235982	23.58490566037736	0.15030540156441805	9.906470700515365	0.024027906222579092	1.979490627889384	0.007120316308426283	0.7612149878057793	0.008011989786115612	0.8480246896721244
